City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
231,Rosetta,31.4044,30.4164,66.18,79,0,7.87,clear sky,EG,2022-05-16 23:36:10
232,San Patricio,28.017,-97.5169,91.54,60,1,15.39,clear sky,US,2022-05-16 23:36:11
233,Cherskiy,68.75,161.3,41.88,81,100,12.26,overcast clouds,RU,2022-05-16 23:36:12
234,Atbasar,51.8,68.3333,56.82,69,59,8.75,broken clouds,KZ,2022-05-16 23:36:12
235,West Sacramento,38.5805,-121.5302,86.49,35,0,10.36,clear sky,US,2022-05-16 23:36:13
236,Kloulklubed,7.0419,134.2556,81.1,74,9,15.17,clear sky,PW,2022-05-16 23:36:14
237,Carthage,36.8611,10.3316,63.93,82,20,3.44,few clouds,TN,2022-05-16 23:36:14
238,Sahbuz,39.4072,45.5739,47.8,81,46,2.8,scattered clouds,AZ,2022-05-16 23:36:15
239,Horta,38.5333,-28.6333,56.93,63,70,25.77,broken clouds,PT,2022-05-16 23:36:16
240,Dudinka,69.4058,86.1778,36.63,100,100,9.95,overcast clouds,RU,2022-05-16 23:36:17
241,Asfi,32.2994,-9.2372,66.07,77,0,10.42,clear sky,MA,2022-05-16 23:36:17
242,Sindor,62.8629,51.8905,40.55,86,100,6.4,overcast clouds,RU,2022-05-16 23:36:18
243,Batagay-Alyta,67.8006,130.4114,20.16,85,91,2.44,overcast clouds,RU,2022-05-16 23:36:19
244,Americus,32.0724,-84.2327,89.73,37,40,5.75,scattered clouds,US,2022-05-16 23:35:39
245,Lompoc,34.6391,-120.4579,71.78,72,100,20.71,mist,US,2022-05-16 23:33:28
246,Kavieng,-2.5744,150.7967,84.02,68,22,7.25,few clouds,PG,2022-05-16 23:36:20
247,Sonoita,31.85,-112.8333,91.44,11,0,13.29,clear sky,MX,2022-05-16 23:36:21
248,Kutum,14.2,24.6667,76.98,18,12,14.74,few clouds,SD,2022-05-16 23:31:29
249,Cap Malheureux,-19.9842,57.6142,72.46,76,68,3.0,broken clouds,MU,2022-05-16 23:36:22
250,Isangel,-19.55,169.2667,79.63,71,46,15.57,scattered clouds,VU,2022-05-16 23:34:10
251,Aksarayskiy,46.7924,48.0119,56.14,59,37,9.95,scattered clouds,RU,2022-05-16 23:36:23
252,Altay,47.8667,88.1167,54.61,59,3,3.71,clear sky,CN,2022-05-16 23:36:24
253,Biskamzha,53.4497,89.5272,55.94,76,69,0.63,broken clouds,RU,2022-05-16 23:36:25
254,Uusikaupunki,60.8004,21.4084,39.24,76,15,9.69,few clouds,FI,2022-05-16 23:36:26
255,Katsuura,35.1333,140.3,63.28,82,100,10.27,overcast clouds,JP,2022-05-16 23:36:27
256,Canberra,-35.2835,149.1281,53.55,73,1,11.5,clear sky,AU,2022-05-16 23:36:27
257,Teberda,43.4456,41.7448,40.55,92,68,5.12,broken clouds,RU,2022-05-16 23:36:28
258,Panchagarh,26.3313,88.562,73.45,94,80,10.38,moderate rain,BD,2022-05-16 23:36:29
259,Pirgos,35.1167,25.7178,65.62,70,0,4.32,clear sky,GR,2022-05-16 23:36:30
260,Tokur,53.1333,132.9,36.09,75,100,6.06,overcast clouds,RU,2022-05-16 23:36:30
